timestamp_iso,airtemp1,airtemp2,airtemp1_maximum,airtemp2_maximum,swin,swout,sh1,sh2
2021-05-18 03:00:00+00:00,-23.33,-23.09,-22.73,-22.46,1.0,0.2,1.64,2.19
2021-05-18 04:00:00+00:00,-23.81,-23.61,-23.37,-23.16,1.2,0.4,1.64,2.2
2021-05-18 05:00:00+00:00,-24.35,-24.19,-23.61,-23.44,3.6,2.6,1.64,2.2
2021-05-18 06:00:00+00:00,-24.92,-24.79,-24.76,-24.59,26.6,14.6,1.65,2.2
2021-05-18 07:00:00+00:00,-24.64,-24.6,-23.86,-23.89,86.0,58.2,1.65,2.2
2021-05-18 08:00:00+00:00,-23.28,-23.3,-22.65,-22.69,168.6,133.0,1.64,2.2
2021-05-18 09:00:00+00:00,-22.37,-22.5,-21.49,-21.63,254.6,224.0,1.64,2.19
2021-05-18 10:00:00+00:00,-20.43,-20.69,-19.42,-19.69,349.4,321.8,1.63,2.18
2021-05-18 11:00:00+00:00,-18.14,-18.45,-16.62,-16.98,445.8,419.2,1.63,2.18
2021-05-18 12:00:00+00:00,-15.41,-15.84,-14.27,-14.72,537.2,511.2,1.62,2.16
2021-05-18 13:00:00+00:00,-13.06,-13.55,-11.87,-12.46,614.4,584.2,1.61,2.15
2021-05-18 14:00:00+00:00,-10.88,-11.49,-9.91,-10.56,675.8,635.4,1.6,2.15
2021-05-18 15:00:00+00:00,-9.13,-9.75,-8.28,-8.87,713.2,660.8,1.6,2.14
2021-05-18 16:00:00+00:00,-999,-8.32,-7.06,-999,725.4,661.4,1.59,2.13
2021-05-18 17:00:00+00:00,-6.91,-999,-6.69,-999,711.6,634.6,1.59,2.13
2021-05-18 18:00:00+00:00,-6.64,-999,-6.36,-7.07,672.6,584.2,1.59,2.13
2021-05-18 19:00:00+00:00,-6.74,-7.17,-6.57,-7.03,610.4,513.2,1.59,2.13
2021-05-18 20:00:00+00:00,-999,-999,-6.76,-999,528.8,427.2,1.59,2.13
2021-05-18 21:00:00+00:00,-9.23,-9.6,-8.06,-8.64,433.2,333.0,1.6,2.14
2021-05-18 22:00:00+00:00,-11.34,-11.61,-10.18,-10.51,264.2,234.6,1.61,2.15
2021-05-18 23:00:00+00:00,-13.66,-13.8,-12.22,-12.37,31.2,142.6,1.61,2.16
2021-05-19 00:00:00+00:00,-16.17,-16.18,-15.14,-15.1,73.2,64.8,1.62,2.17
