 Year Day Hour 100m 200m 300m 400m 500m 600m 700m 800m 900m 1000m 1100m 1200m 1300m 1400m 1500m 1600m 1700m 1800m 1900m 2000m
2021 213   0  7.019  6.810  6.608  6.410  6.218  6.031  5.818  5.540  5.272  5.016  4.770  4.534  4.374  4.360  4.345  4.331  4.317  4.298  4.270  4.242
2021 213   1  6.931  6.718  6.510  6.309  6.113  5.923  5.709  5.435  5.173  4.921  4.679  4.447  4.287  4.259  4.231  4.203  4.162  4.119  4.077  4.036
2021 213   2  6.348  6.221  6.097  5.976  5.857  5.741  5.587  5.348  5.117  4.893  4.676  4.465  4.309  4.254  4.199  4.143  4.064  3.985  3.906  3.828
2021 213   3  6.485  6.335  6.189  6.046  5.906  5.769  5.595  5.335  5.083  4.840  4.605  4.379  4.213  4.160  4.106  4.040  3.962  3.883  3.806  3.728
2021 213   4  6.954  6.717  6.488  6.266  6.050  5.841  5.607  5.309  5.024  4.752  4.493  4.245  4.066  4.011  3.938  3.865  3.792  3.720  3.649  3.579
2021 213   5  6.825  6.603  6.387  6.178  5.975  5.779  5.555  5.265  4.988  4.723  4.470  4.229  4.045  3.963  3.863  3.764  3.667  3.571  3.478  3.386
2021 213   6  6.352  6.173  5.999  5.830  5.665  5.505  5.316  5.060  4.814  4.578  4.351  4.133  3.961  3.859  3.747  3.638  3.532  3.428  3.326  3.227
2021 213   7  6.119  5.983  5.851  5.721  5.594  5.470  5.312  5.072  4.841  4.618  4.402  4.194  4.024  3.925  3.809  3.690  3.574  3.462  3.352  3.245
2021 213   8  6.058  5.938  5.821  5.706  5.594  5.484  5.338  5.108  4.884  4.668  4.458  4.255  4.089  3.991  3.893  3.779  3.668  3.559  3.454  3.352
2021 213   9  6.132  6.019  5.909  5.800  5.694  5.590  5.448  5.218  4.994  4.777  4.566  4.362  4.194  4.095  3.997  3.902  3.790  3.682  3.577  3.475
2021 213  10  6.190  6.092  5.996  5.901  5.808  5.717  5.579  5.332  5.092  4.858  4.631  4.409  4.240  4.173  4.107  4.041  3.977  3.909  3.831  3.755
2021 213  11  6.248  6.152  6.058  5.965  5.874  5.785  5.645  5.388  5.138  4.895  4.658  4.428  4.265  4.237  4.209  4.182  4.155  4.129  4.103  4.078
2021 213  12  6.204  6.121  6.039  5.958  5.878  5.800  5.671  5.425  5.184  4.950  4.721  4.497  4.340  4.315  4.290  4.266  4.243  4.220  4.198  4.177
2021 213  13  6.999  6.852  6.709  6.568  6.430  6.296  6.083  5.752  5.433  5.124  4.826  4.538  4.339  4.310  4.282  4.254  4.227  4.201  4.175  4.150
2021 213  14  7.930  7.694  7.464  7.241  7.024  6.711  6.310  5.928  5.561  5.212  4.877  4.559  4.345  4.330  4.314  4.300  4.285  4.272  4.259  4.246
2021 213  15  8.110  7.860  7.618  7.383  7.064  6.652  6.257  5.880  5.520  5.177  4.850  4.537  4.333  4.335  4.337  4.340  4.343  4.347  4.351  4.356
2021 213  16  8.850  8.462  7.974  7.509  7.066  6.646  6.246  5.866  5.505  5.163  4.838  4.529  4.326  4.319  4.313  4.307  4.301  4.296  4.291  4.287
2021 213  17  8.982  8.635  8.186  7.688  7.217  6.769  6.344  5.942  5.560  5.198  4.856  4.532  4.321  4.321  4.322  4.323  4.325  4.327  4.330  4.334
2021 213  18  9.324  8.850  8.312  7.803  7.320  6.863  6.431  6.022  5.635  5.270  4.925  4.599  4.389  4.390  4.392  4.394  4.397  4.401  4.404  4.409
2021 213  19  9.576  8.983  8.423  7.894  7.394  6.923  6.478  6.059  5.664  5.292  4.943  4.613  4.401  4.405  4.409  4.414  4.419  4.425  4.431  4.438
2021 213  20 10.050  9.475  8.846  8.254  7.697  7.174  6.682  6.221  5.788  5.382  5.002  4.645  4.410  4.392  4.374  4.357  4.340  4.324  4.308  4.293
