 Year Day Hour 100m 200m 300m 400m 500m 600m 700m 800m 900m 1000m 1100m 1200m 1300m 1400m 1500m 1600m 1700m 1800m 1900m 2000m
2021 213   0 100.0 100.0 100.0 100.0 100.0 100.0  99.5  97.6  95.8  94.0  92.2  90.3  89.4  90.2  91.0  91.8  92.6  93.4  94.2  95.0
2021 213   1 100.0 100.0 100.0 100.0 100.0 100.0  99.5  97.8  96.0  94.3  92.6  90.9  90.0  90.8  91.6  92.4  93.2  94.0  94.8  95.6
2021 213   2 100.0 100.0 100.0 100.0 100.0 100.0  99.3  97.0  94.7  92.3  90.0  87.7  86.6  88.1  89.5  91.0  92.5  94.0  95.5  97.0
2021 213   3 100.0 100.0 100.0 100.0 100.0 100.0  99.3  96.9  94.5  92.1  89.7  87.3  86.2  87.8  89.3  90.9  92.5  94.1  95.6  97.2
2021 213   4 100.0 100.0 100.0 100.0 100.0 100.0  99.4  97.5  95.6  93.7  91.8  89.9  88.9  90.0  91.1  92.2  93.3  94.4  95.4  96.5
2021 213   5 100.0 100.0 100.0 100.0 100.0 100.0  99.4  97.5  95.5  93.5  91.6  89.6  88.6  89.7  90.8  91.9  93.0  94.1  95.2  96.2
2021 213   6 100.0 100.0 100.0 100.0 100.0 100.0  99.4  97.4  95.3  93.3  91.3  89.3  88.2  89.2  90.2  91.2  92.2  93.2  94.2  95.2
2021 213   7 100.0 100.0 100.0 100.0 100.0 100.0  99.3  97.0  94.7  92.3  90.0  87.7  86.4  87.2  88.0  88.8  89.7  90.5  91.3  92.1
2021 213   8 100.0 100.0 100.0 100.0 100.0 100.0  99.3  96.9  94.5  92.1  89.7  87.3  85.8  86.2  86.6  87.0  87.4  87.7  88.1  88.5
2021 213   9 100.0 100.0 100.0 100.0 100.0 100.0  99.3  96.8  94.4  91.9  89.5  87.1  85.4  85.5  85.6  85.6  85.7  85.8  85.8  85.9
2021 213  10 100.0 100.0 100.0 100.0 100.0 100.0  99.1  96.2  93.3  90.5  87.6  84.7  82.8  83.1  83.4  83.7  84.1  84.4  84.7  85.0
2021 213  11 100.0 100.0 100.0 100.0 100.0 100.0  99.1  96.0  93.0  89.9  86.8  83.8  81.8  82.0  82.3  82.6  82.8  83.1  83.4  83.6
2021 213  12 100.0 100.0 100.0 100.0 100.0 100.0  99.1  96.0  93.0  90.0  86.9  83.9  81.8  81.6  81.5  81.3  81.2  81.1  80.9  80.8
2021 213  13 100.0 100.0 100.0 100.0 100.0 100.0  98.7  95.3  91.9  88.6  85.2  81.8  79.5  79.4  79.3  79.3  79.2  79.1  79.1  79.0
2021 213  14 100.0 100.0 100.0 100.0 100.0  98.5  95.5  92.5  89.5  86.5  83.5  80.4  78.4  78.4  78.3  78.3  78.2  78.2  78.2  78.1
2021 213  15 100.0 100.0 100.0 100.0  98.7  96.0  93.2  90.4  87.6  84.8  82.0  79.2  77.4  77.6  77.8  78.0  78.2  78.4  78.6  78.8
2021 213  16 100.0  99.3  97.2  95.1  93.1  91.0  88.9  86.8  84.7  82.6  80.5  78.4  77.0  77.0  77.0  77.1  77.1  77.1  77.1  77.1
2021 213  17 100.0 100.0  98.6  96.4  94.2  92.0  89.7  87.5  85.3  83.1  80.8  78.6  77.1  77.1  77.2  77.2  77.3  77.3  77.3  77.4
2021 213  18 100.0  99.2  97.4  95.6  93.8  92.0  90.2  88.4  86.5  84.7  82.9  81.1  79.8  79.5  79.3  79.0  78.7  78.4  78.1  77.9
2021 213  19  92.2  91.2  90.2  89.2  88.2  87.2  86.2  85.2  84.2  83.2  82.2  81.2  80.5  80.3  80.2  80.0  79.9  79.8  79.6  79.5
2021 213  20  93.1  92.1  91.1  90.1  89.1  88.1  87.1  86.1  85.1  84.1  83.1  82.1  81.2  80.7  80.2  79.7  79.2  78.7  78.2  77.7
2021 213  21 100.0 100.0  99.2  97.2  95.2  93.1  91.1  89.0  87.0  85.0  82.9  80.9  79.5  79.6  79.7  79.8  79.9  80.0  80.1  80.1
2021 213  22 100.0 100.0 100.0 100.0 100.0  98.4  95.8  93.2  90.6  88.0  85.4  82.8  81.2  81.9  82.5  83.1  83.8  84.4  85.1  85.7
2021 213  23 100.0 100.0 100.0 100.0 100.0 100.0  98.4  95.4  92.3  89.3  86.3  83.3  81.5  82.2  83.0  83.8  84.6  85.4  86.2  87.0
2021 214   0 100.0 100.0 100.0 100.0 100.0 100.0  97.9  94.9  91.8  88.8  85.8  82.8  81.0  81.9  82.7  83.6  84.5  85.3  86.2  87.1
2021 214   1 100.0 100.0 100.0 100.0 100.0 100.0  96.9  93.7  90.6  87.5  84.4  81.2  79.6  81.0  82.4  83.8  85.2  86.6  88.1  89.5
2021 214   2 100.0 100.0 100.0 100.0 100.0 100.0  97.9  94.7  91.5  88.2  85.0  81.8  79.9  80.9  81.9  82.8  83.8  84.8  85.8  86.8
2021 214   3 100.0 100.0 100.0 100.0 100.0 100.0  97.4  94.2  91.1  87.9  84.7  81.5  79.5  80.3  81.1  81.9  82.6  83.4  84.2  84.9
2021 214   4 100.0 100.0 100.0 100.0  99.8  97.0  94.3  91.5  88.8  86.1  83.3  80.6  79.0  79.7  80.5  81.3  82.1  82.9  83.7  84.5
2021 214   5 100.0 100.0 100.0 100.0  99.3  96.7  94.0  91.4  88.7  86.1  83.4  80.8  79.3  80.2  81.0  81.9  82.8  83.7  84.5  85.4
2021 214   6 100.0 100.0 100.0 100.0  98.8  96.3  93.7  91.2  88.7  86.2  83.6  81.1  79.7  80.6  81.4  82.3  83.2  84.1  84.9  85.8
2021 214   7 100.0 100.0 100.0 100.0 100.0  97.7  95.3  92.9  90.5  88.1  85.6  83.2  81.8  82.4  83.0  83.6  84.2  84.9  85.5  86.1
2021 214   8 100.0 100.0 100.0 100.0 100.0  99.7  96.8  94.0  91.1  88.3  85.4  82.5  80.8  81.2  81.7  82.2  82.6  83.1  83.6  84.1
2021 214   9 100.0 100.0 100.0 100.0 100.0  99.4  96.4  93.4  90.4  87.4  84.4  81.4  79.5  80.0  80.4  80.8  81.2  81.6  82.1  82.5
2021 214  10 100.0 100.0 100.0 100.0  98.6  96.1  93.5  91.0  88.5  85.9  83.4  80.8  79.2  79.5  79.8  80.1  80.4  80.7  81.0  81.3
2021 214  11 100.0 100.0 100.0 100.0 100.0  99.9  96.9  93.8  90.8  87.7  84.6  81.6  79.5  79.5  79.5  79.6  79.6  79.6  79.6  79.6
2021 214  12 100.0 100.0 100.0 100.0 100.0 100.0  97.8  94.6  91.5  88.3  85.1  81.9  79.6  79.4  79.2  79.0  78.8  78.6  78.4  78.2
2021 214  13 100.0 100.0 100.0 100.0 100.0 100.0  97.3  94.5  91.7  88.8  86.0  83.1  81.2  81.0  80.8  80.7  80.5  80.4  80.2  80.0
2021 214  14 100.0 100.0 100.0 100.0 100.0  99.9  96.9  93.9  91.0  88.0  85.0  82.0  80.1  80.4  80.8  81.1  81.4  81.8  82.1  82.4
2021 214  15 100.0 100.0 100.0 100.0 100.0 100.0  98.9  95.4  91.9  88.4  84.8  81.3  79.0  79.4  79.8  80.1  80.5  80.9  81.2  81.6
2021 214  16 100.0 100.0 100.0 100.0 100.0 100.0  99.1  96.3  93.5  90.6  87.8  84.9  83.0  83.1  83.2  83.3  83.5  83.6  83.7  83.8
2021 214  17 100.0 100.0 100.0 100.0 100.0 100.0  99.2  96.6  94.0  91.4  88.8  86.2  84.5  84.7  84.9  85.2  85.4  85.6  85.8  86.1
2021 214  18 100.0 100.0 100.0 100.0 100.0 100.0  99.3  96.8  94.4  92.0  89.6  87.1  85.6  86.1  86.5  86.9  87.3  87.7  88.2  88.6
2021 214  19 100.0 100.0 100.0 100.0 100.0 100.0  99.3  97.2  95.0  92.8  90.6  88.4  87.0  87.4  87.8  88.1  88.5  88.9  89.2  89.6
2021 214  20 100.0 100.0 100.0 100.0 100.0 100.0  99.5  98.0  96.4  94.9  93.3  91.8  90.7  90.6  90.5  90.5  90.4  90.3  90.3  90.2
2021 214  21 100.0 100.0 100.0 100.0 100.0 100.0  99.6  98.1  96.7  95.3  93.8  92.4  91.2  90.7  90.1  89.5  89.0  88.4  87.9  87.3
2021 214  22 100.0 100.0 100.0 100.0 100.0 100.0  99.7  98.6  97.5  96.4  95.3  94.2  93.3  92.5  91.8  91.1  90.3  89.6  88.9  88.1
2021 214  23 100.0 100.0 100.0 100.0 100.0 100.0  99.7  98.7  97.7  96.6  95.6  94.6  93.7  93.1  92.4  91.8  91.2  90.6  89.9  89.3
2021 215   0 100.0 100.0 100.0 100.0 100.0 100.0  99.7  98.5  97.4  96.2  95.1  94.0  93.3  93.4  93.6  93.8  94.0  94.1  94.3  94.5
2021 215   1 100.0 100.0 100.0 100.0 100.0 100.0  99.5  98.3  97.0  95.8  94.5  93.3  92.5  92.9  93.3  93.7  94.1  94.5  94.9  95.3
2021 215   2 100.0 100.0 100.0 100.0 100.0 100.0  99.6  98.2  96.8  95.5  94.1  92.7  91.9  92.1  92.3  92.5  92.7  92.9  93.1  93.3
2021 215   3 100.0 100.0 100.0 100.0 100.0 100.0  99.5  97.9  96.2  94.6  93.0  91.3  90.3  90.7  91.1  91.4  91.8  92.2  92.5  92.9
2021 215   4 100.0 100.0 100.0 100.0 100.0 100.0  99.4  97.7  96.1  94.4  92.7  91.0  90.1  90.8  91.5  92.2  92.9  93.6  94.3  95.0
2021 215   5 100.0 100.0 100.0 100.0 100.0 100.0  99.5  97.8  96.1  94.4  92.7  91.0  89.9  90.4  90.9  91.3  91.8  92.2  92.7  93.1
2021 215   6 100.0 100.0 100.0 100.0 100.0 100.0  99.4  97.8  96.2  94.5  92.9  91.3  90.3  90.7  91.1  91.4  91.8  92.2  92.5  92.9
2021 215   7 100.0 100.0 100.0 100.0 100.0 100.0  99.4  97.8  96.2  94.6  93.0  91.4  90.4  90.9  91.3  91.8  92.2  92.6  93.1  93.5
2021 215   8 100.0 100.0 100.0 100.0 100.0 100.0  99.4  97.7  96.0  94.3  92.6  90.9  89.8  90.3  90.8  91.2  91.7  92.1  92.6  93.0
2021 215   9 100.0 100.0 100.0 100.0 100.0 100.0  99.5  97.7  96.0  94.2  92.4  90.7  89.5  89.6  89.7  89.8  90.0  90.1  90.2  90.3
2021 215  10 100.0 100.0 100.0 100.0 100.0 100.0  99.4  97.5  95.7  93.8  91.9  90.0  88.7  88.6  88.5  88.4  88.3  88.2  88.1  88.1
2021 215  11 100.0 100.0 100.0 100.0 100.0 100.0  99.2  96.7  94.2  91.7  89.1  86.6  85.1  85.6  86.2  86.7  87.2  87.8  88.3  88.9
2021 215  12 100.0 100.0 100.0 100.0 100.0 100.0  99.2  96.7  94.2  91.7  89.2  86.7  85.1  85.3  85.5  85.7  85.9  86.1  86.3  86.5
2021 215  13 100.0 100.0 100.0 100.0 100.0 100.0  99.3  97.1  94.9  92.7  90.5  88.3  86.8  86.8  86.8  86.8  86.8  86.8  86.8  86.8
2021 215  14 100.0 100.0 100.0 100.0 100.0 100.0  99.3  96.8  94.4  92.0  89.6  87.1  85.5  85.5  85.6  85.6  85.7  85.7  85.7  85.8
2021 215  15 100.0 100.0 100.0 100.0 100.0 100.0  99.3  97.0  94.6  92.3  89.9  87.6  85.9  85.7  85.5  85.2  85.0  84.8  84.6  84.3
2021 215  16 100.0 100.0 100.0 100.0 100.0 100.0  99.3  97.1  94.8  92.6  90.3  88.0  86.4  86.2  86.0  85.8  85.6  85.4  85.2  85.0
2021 215  17 100.0 100.0 100.0 100.0 100.0 100.0  99.3  97.1  94.8  92.6  90.4  88.1  86.5  86.2  85.8  85.5  85.2  84.8  84.5  84.2
2021 215  18 100.0 100.0 100.0 100.0 100.0 100.0  99.4  97.4  95.4  93.4  91.4  89.5  87.9  87.3  86.7  86.1  85.5  84.8  84.2  83.6
2021 215  19 100.0 100.0 100.0 100.0 100.0 100.0  99.4  97.5  95.6  93.7  91.8  89.9  88.4  87.9  87.4  86.9  86.3  85.8  85.3  84.8
2021 215  20 100.0 100.0 100.0 100.0 100.0 100.0  99.4  97.3  95.3  93.3  91.2  89.2  87.8  87.6  87.5  87.4  87.3  87.1  87.0  86.9
2021 215  21 100.0 100.0 100.0 100.0 100.0 100.0  99.4  97.6  95.7  93.8  91.9  90.1  88.7  88.6  88.4  88.2  88.0  87.9  87.7  87.5
2021 215  22 100.0 100.0 100.0 100.0 100.0 100.0  99.5  97.8  96.2  94.5  92.9  91.2  89.9  89.5  89.0  88.5  88.1  87.6  87.1  86.6
2021 215  23 100.0 100.0 100.0 100.0 100.0 100.0  99.5  97.9  96.3  94.6  93.0  91.4  90.3  90.1  90.0  89.9  89.8  89.6  89.5  89.4
2021 216   0 100.0 100.0 100.0 100.0 100.0 100.0  99.6  98.1  96.6  95.1  93.7  92.2  91.2  91.3  91.4  91.4  91.5  91.6  91.6  91.7
