,time,albedo,bare_ice_area,albedo_gris,bare_ice_area_gris
0,2021-04-07,0.8526478,814,0.8527202,483
1,2021-04-08,0.8511055,1108,0.85126024,610
2,2021-04-09,0.85044116,1375,0.8507009,810
3,2021-04-10,0.8504185,1807,0.8507511,1137
4,2021-04-11,0.8495746,2326,0.8499842,1521
5,2021-04-12,0.849176,2628,0.8496674,1682
6,2021-04-13,0.84877735,3067,0.8493417,1912
7,2021-04-14,0.84893805,2993,0.8495502,1869
8,2021-04-15,0.84858894,2979,0.8492142,1857
9,2021-04-16,0.84853464,2962,0.84915227,1853
10,2021-04-17,0.84793377,2962,0.84853244,1848
11,2021-04-18,0.84759516,2872,0.8481764,1757
12,2021-04-20,0.8440671,3787,0.84596014,1641
13,2021-04-21,0.8432172,4099,0.8452576,1754
14,2021-04-22,0.8429598,4113,0.8450158,1767
15,2021-04-23,0.8424339,4155,0.84448946,1793
16,2021-04-24,0.8418779,4171,0.84394205,1799
17,2021-04-25,0.84102845,4251,0.8430831,1863
18,2021-04-26,0.84014976,4412,0.84220207,1960
19,2021-04-27,0.8386611,4776,0.8407598,2147
20,2021-04-28,0.8353324,5587,0.8374166,2723
21,2021-04-29,0.8322087,6596,0.8342446,3545
22,2021-04-30,0.83016586,7696,0.832303,4292
23,2021-05-01,0.8285502,8199,0.8307108,4627
24,2021-05-02,0.8269846,8901,0.82921773,5011
25,2021-05-03,0.82619053,9850,0.82850564,5542
26,2021-05-04,0.82559747,10372,0.82792395,5921
27,2021-05-05,0.82489365,10530,0.8271969,6016
28,2021-05-06,0.82446355,10733,0.82673705,6170
29,2021-05-07,0.8241413,10956,0.82642794,6274
30,2021-05-08,0.8239539,11133,0.8262613,6369
31,2021-05-09,0.82387495,11100,0.82618856,6302
32,2021-05-10,0.8239353,11090,0.8262479,6290
33,2021-05-11,0.8238917,11217,0.8262368,6388
34,2021-05-12,0.8237111,11210,0.8260841,6328
35,2021-05-13,0.82342106,11168,0.82586133,6207
36,2021-05-14,0.82305574,11229,0.8254987,6248
37,2021-05-15,0.8231304,11684,0.82564694,6533
38,2021-05-16,0.8221689,11890,0.82473207,6634
39,2021-05-17,0.8214115,12104,0.8240008,6738
40,2021-05-18,0.821278,12219,0.82386696,6821
41,2021-05-19,0.82065,12669,0.82327205,7077
42,2021-05-20,0.81970716,12864,0.82233226,7160
43,2021-05-21,0.81886476,12892,0.8214715,7168
44,2021-05-22,0.818483,12923,0.8210718,7196
45,2021-05-23,0.816954,13123,0.8194769,7389
46,2021-05-24,0.8159956,13220,0.8185151,7451
47,2021-05-25,0.8153292,13562,0.81784886,7777
48,2021-05-26,0.81470484,14358,0.81730133,8329
49,2021-05-27,0.8152883,16919,0.8185301,9600
50,2021-05-28,0.8151706,18179,0.81875324,10122
51,2021-05-29,0.81495446,18514,0.8186411,10251
