,OAA,OZA,SAA,SCDA_final,SZA,r_TOA_01,r_TOA_02,r_TOA_03,r_TOA_04,r_TOA_05,r_TOA_06,r_TOA_07,r_TOA_08,r_TOA_09,r_TOA_10,r_TOA_11,r_TOA_12,r_TOA_13,r_TOA_14,r_TOA_15,r_TOA_16,r_TOA_17,r_TOA_18,r_TOA_19,r_TOA_20,r_TOA_21,r_TOA_S1,r_TOA_S5,r_TOA_S5_rc
Swiss Camp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crawford Pt. 1,103.821266,36.1585,156.35225,,59.08918,0.9244,0.924,0.9116,0.8849,0.8589,0.7864,0.7562,0.7804,0.7845,0.7847,0.7557,0.746,0.2172,0.386,0.6599,0.7054,0.6576,0.618,0.484,0.2665,0.4259,0.869,0.0468,0.052416
NASA-U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GITS,112.87657,31.384966,169.17503,,65.134766,0.9046,0.904,0.899,0.8827,0.8599,0.7974,0.7881,0.8387,0.8462,0.8499,0.8416,0.847,0.2106,0.3973,0.7464,0.8287,0.8093,0.7873,0.6422,0.3645,0.6619,0.8133,0.0743,0.083216
Humboldt,116.71629,29.73776,173.72272,,66.37153,0.9035,0.9039,0.9009,0.8856,0.8622,0.7969,0.7876,0.8417,0.8489,0.8543,0.8511,0.8527,0.2079,0.3933,0.7482,0.8372,0.8203,0.7982,0.6755,0.4223,0.6709,0.8153,0.0828,0.092736
Summit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tunu-N,114.48135,31.300224,171.14891,,65.90507,0.9327,0.9318,0.9275,0.9109,0.8884,0.8194,0.8063,0.8527,0.8617,0.8656,0.8581,0.8561,0.2155,0.4074,0.7565,0.8345,0.8117,0.7896,0.671,0.4239,0.6562,0.8345,0.0707,0.079183996
DYE-2,105.10828,28.809713,156.5327,,55.83085,0.9864,0.9902,1.0011,0.9986,0.9763,0.9136,0.8892,0.9157,0.9197,0.9204,0.8853,0.871,0.2386,0.4268,0.7587,0.8185,0.7579,0.7066,0.5353,0.2561,0.4445,0.941,0.0181,0.020272002
JAR1,-55.449196,22.479431,-178.01915,,57.286182,0.4342,0.4294,0.4179,0.4032,0.389,0.3502,0.3285,0.3331,0.3332,0.3321,0.3142,0.2889,0.0718,0.1286,0.2407,0.264,0.2233,0.1993,0.1382,0.0518,0.1063,0.3876,0.009,0.010079999
Saddle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Dome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NASA-E,118.7793,14.572632,175.47015,,62.795223,0.7778,0.7666,0.7414,0.7056,0.6819,0.6227,0.602,0.6277,0.6317,0.6326,0.6167,0.6175,0.186,0.3279,0.5568,0.6011,0.5794,0.5623,0.4451,0.2377,0.4635,0.6933,0.0571,0.063952
NGRIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NASA-SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAR2,-55.776108,21.989986,-178.42639,,57.20866,0.6218,0.6281,0.6377,0.6415,0.6229,0.5787,0.5434,0.5473,0.5485,0.547,0.5057,0.4674,0.1092,0.2006,0.3863,0.4279,0.3679,0.3275,0.2205,0.0713,0.159,0.6064,0.0111,0.012432
JAR3,-56.00995,21.516602,-178.7182,,57.181194,0.5437,0.5507,0.5656,0.5797,0.5693,0.5363,0.5144,0.526,0.5291,0.5283,0.4955,0.4743,0.1106,0.2045,0.3958,0.4415,0.3937,0.3568,0.24,0.0774,0.1939,0.5373,0.016,0.01792
Petermann Gl.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petermann ELA,115.20636,35.705235,172.36705,,67.95367,0.8045,0.8012,0.793,0.7699,0.742,0.6664,0.6226,0.6423,0.6446,0.6455,0.6179,0.597,0.1306,0.2619,0.5166,0.5622,0.5206,0.4837,0.3696,0.1807,0.2979,0.6705,0.0113,0.012656
NEEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KPC_L,123.72269,25.994856,-178.4259,,67.6698,0.4109,0.4034,0.3839,0.3603,0.3466,0.3224,0.3159,0.3309,0.334,0.3339,0.3262,0.3243,0.0648,0.1241,0.2706,0.3128,0.2942,0.2783,0.2024,0.0839,0.2035,0.5266,0.0227,0.025424
KPC_U,122.66963,26.887426,-179.57892,,67.59082,0.7472,0.7491,0.7494,0.7387,0.7185,0.6571,0.6282,0.6544,0.6592,0.6579,0.6329,0.6212,0.1255,0.2442,0.5136,0.5857,0.5454,0.5092,0.3845,0.177,0.3317,0.6658,0.0173,0.019376
SCO_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCO_U,-58.317844,2.6501906,178.59142,,60.153168,0.4295,0.4239,0.4133,0.3987,0.3855,0.3516,0.3305,0.3365,0.3374,0.336,0.3178,0.3034,0.0798,0.1441,0.2561,0.2795,0.2391,0.2141,0.146,0.0527,0.1126,0.3802,0.0088,0.009856
MIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAS_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAS_U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAS_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QAS_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QAS_M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QAS_U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUK_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUK_U,102.81776,33.810856,152.62694,,54.554493,0.6005,0.5939,0.5814,0.5593,0.5405,0.4891,0.4603,0.4638,0.4656,0.4643,0.4382,0.4098,0.1065,0.1943,0.3525,0.3777,0.3273,0.2955,0.2114,0.0843,0.1467,0.5206,0.016,0.01792
NUK_N,102.18217,36.079483,152.01367,,55.07026,0.4283,0.4182,0.3931,0.3619,0.3445,0.3007,0.2762,0.2788,0.2792,0.2787,0.2659,0.2547,0.0689,0.1252,0.2216,0.2374,0.2115,0.1947,0.1386,0.0553,0.1102,0.3369,0.0115,0.01288
NUK_K,101.05527,38.865414,150.11856,,54.67079,0.2906,0.2744,0.2411,0.2061,0.1935,0.173,0.1607,0.1645,0.1647,0.1652,0.1762,0.2093,0.0573,0.0998,0.1874,0.2133,0.2289,0.2318,0.1694,0.0714,0.2605,0.1953,0.2201,0.246512
KAN_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAN_L,101.667534,38.96161,152.42702,,57.01176,0.7083,0.7127,0.7194,0.7206,0.7019,0.6479,0.6081,0.6162,0.6195,0.6189,0.5743,0.5415,0.1207,0.2282,0.451,0.498,0.4349,0.3903,0.2598,0.0818,0.1926,0.6406,0.0112,0.012544
KAN_M,102.68359,36.338493,153.70038,,56.79749,0.5308,0.5227,0.5041,0.4769,0.4576,0.4077,0.3856,0.4003,0.4022,0.4023,0.39,0.3793,0.1018,0.1876,0.3306,0.3541,0.316,0.2869,0.2044,0.0815,0.156,0.4331,0.009,0.010079999
KAN_U,104.32657,31.758587,155.75533,,56.43431,0.917,0.9178,0.9129,0.8978,0.8734,0.8091,0.7796,0.801,0.805,0.8055,0.7712,0.7544,0.2088,0.3745,0.6592,0.7109,0.6564,0.6131,0.4592,0.2153,0.4023,0.8272,0.0156,0.017471999
UPE_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPE_U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THU_L,-47.661346,0.68694663,-171.4146,,64.34399,0.4228,0.418,0.4102,0.3977,0.3878,0.3647,0.357,0.3716,0.3719,0.3724,0.3609,0.355,0.0849,0.1636,0.3046,0.338,0.3106,0.2885,0.2112,0.0884,0.1925,0.425,0.0116,0.012992
THU_U,-48.225918,0.6877749,-171.28362,,64.371506,0.6743,0.6759,0.691,0.6993,0.6892,0.6507,0.6454,0.6775,0.6832,0.6848,0.6614,0.6514,0.1562,0.3014,0.5592,0.6142,0.5665,0.5265,0.3891,0.1733,0.3175,0.7041,0.0155,0.01736
EGP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEN,112.937096,31.26914,169.24007,,65.121025,0.9039,0.9035,0.8974,0.8825,0.8573,0.7948,0.7831,0.8313,0.8407,0.8435,0.8359,0.8403,0.2089,0.3932,0.7419,0.8208,0.8026,0.7804,0.6355,0.3574,0.6498,0.815,0.0776,0.086912006
THU_U2,-49.0969,0.69121736,-171.24754,,64.33615,0.7581,0.7669,0.789,0.8112,0.7991,0.7588,0.7485,0.7851,0.7887,0.7891,0.7628,0.7469,0.1769,0.3451,0.6438,0.706,0.6519,0.608,0.4529,0.2006,0.3732,0.7735,0.0168,0.018816
