,time,albedo,bare_ice_area,albedo_gris,bare_ice_area_gris
0,2019-04-07,0.8586571,390,0.85863525,329
1,2019-04-08,0.85791886,625,0.8579212,518
2,2019-04-09,0.8560437,1684,0.85609233,1231
3,2019-04-10,0.8542108,2640,0.8542747,1950
4,2019-04-11,0.8527366,3142,0.8528502,2304
5,2019-04-12,0.85197794,3496,0.85210824,2550
6,2019-04-13,0.8516304,3818,0.8517772,2773
7,2019-04-14,0.85127527,3818,0.8514199,2773
8,2019-04-15,0.8502076,4034,0.8503461,2905
9,2019-04-16,0.84979665,4023,0.8499166,2899
10,2019-04-17,0.8487698,4107,0.8488716,2956
11,2019-04-18,0.8485173,4114,0.8486085,2961
12,2019-04-19,0.84885937,4116,0.8489666,2964
13,2019-04-20,0.84875536,4098,0.8488745,2946
14,2019-04-21,0.848616,4293,0.848798,3055
15,2019-04-22,0.8485227,4259,0.84871095,3018
16,2019-04-23,0.8478634,4277,0.8480458,3020
17,2019-04-24,0.8476699,4273,0.84785026,3017
18,2019-04-25,0.8470355,4348,0.84720767,3054
19,2019-04-26,0.84517,4386,0.8452854,3076
20,2019-04-27,0.8431463,4397,0.8433495,2920
21,2019-04-28,0.8413036,4338,0.84149665,2872
22,2019-04-29,0.84020853,4882,0.8406067,3020
23,2019-04-30,0.8386646,4871,0.8390435,3017
24,2019-05-01,0.8352854,7276,0.8359889,4660
25,2019-05-02,0.83316725,7982,0.8339463,5142
26,2019-05-03,0.83061343,8682,0.8315305,5549
27,2019-05-04,0.8288836,9183,0.82997537,5725
28,2019-05-05,0.8277474,9410,0.8288731,5872
29,2019-05-06,0.8250882,9988,0.82629067,6243
30,2019-05-07,0.82038957,10614,0.82173157,6493
31,2019-05-08,0.81860095,11442,0.8199744,7089
32,2019-05-09,0.8176974,11561,0.8190648,7166
33,2019-05-10,0.8171753,11694,0.81855136,7260
34,2019-05-11,0.81707084,11729,0.8184627,7282
35,2019-05-12,0.816719,11942,0.8181569,7361
36,2019-05-13,0.8167588,11952,0.81818324,7353
37,2019-05-14,0.8163837,12162,0.81781846,7457
38,2019-05-15,0.81602097,12371,0.817478,7623
39,2019-05-16,0.81562716,12722,0.8172116,7935
40,2019-05-17,0.8151832,12848,0.8168463,8014
41,2019-05-18,0.8144511,13342,0.8161695,8426
42,2019-05-19,0.8124632,14202,0.8142278,9131
43,2019-05-20,0.8124632,14202,0.8142278,9131
44,2019-05-24,0.81047463,15950,0.8125361,10218
45,2019-05-25,0.80844235,17240,0.81074286,10952
46,2019-05-26,0.8048623,17790,0.80724573,11300
47,2019-05-27,0.8038936,18967,0.80634224,12172
48,2019-05-28,0.80374295,20274,0.806212,13231
49,2019-05-29,0.8039159,20860,0.8064225,13614
50,2019-05-30,0.8039922,21120,0.8065417,13713
51,2019-05-31,0.8043108,21243,0.8068728,13802
52,2019-06-01,0.8048503,21591,0.8074419,14038
53,2019-06-02,0.8053674,21882,0.80799365,14232
54,2019-06-03,0.80581826,22656,0.8084637,14816
55,2019-06-04,0.8058091,23858,0.8084749,15831
56,2019-06-05,0.80584794,26444,0.80860955,18042
57,2019-06-06,0.80569434,27696,0.80855525,18849
58,2019-06-07,0.8037221,29480,0.8065851,20387
59,2019-06-08,0.8007258,36873,0.8035779,27466
60,2019-06-09,0.79729855,40785,0.8004481,30472
61,2019-06-10,0.7931773,47317,0.7965135,36144
62,2019-06-11,0.7904502,53364,0.793927,41602
63,2019-06-12,0.7883495,55132,0.79185486,43061
64,2019-06-13,0.78365606,62976,0.78753805,49876
65,2019-06-14,0.7816573,65553,0.7855637,52122
66,2019-06-15,0.7792888,69018,0.7832721,55135
67,2019-06-16,0.7775395,75910,0.78153247,61807
68,2019-06-17,0.7766427,81448,0.7807007,66937
69,2019-06-18,0.77644783,83810,0.780796,68808
70,2019-06-19,0.7770437,83779,0.7816188,67969
71,2019-06-20,0.7778553,84668,0.7825147,68438
72,2019-06-21,0.77892715,85398,0.78370696,68840
73,2019-06-22,0.77978337,85123,0.78457004,68604
74,2019-06-23,0.78008425,85081,0.78489757,68418
75,2019-06-24,0.78087014,81021,0.7856568,64572
76,2019-06-25,0.78072166,82355,0.7855836,65358
77,2019-06-26,0.7810796,79143,0.7859887,61972
78,2019-06-27,0.78069836,79955,0.7856252,62649
79,2019-06-28,0.78097105,79658,0.7859085,62402
80,2019-06-29,0.77968687,83322,0.7846233,65798
81,2019-06-30,0.78117865,85297,0.78625375,67546
82,2019-07-01,0.78229696,86998,0.78761804,68550
83,2019-07-02,0.7812595,91174,0.78676,72049
84,2019-07-03,0.7803169,98127,0.7859356,78126
85,2019-07-04,0.77982163,100332,0.78548825,79997
86,2019-07-05,0.7787315,103529,0.78447986,82792
87,2019-07-06,0.77701604,104937,0.7828007,83801
88,2019-07-07,0.7756557,109022,0.7816238,86809
89,2019-07-08,0.77376825,115166,0.7797763,92331
90,2019-07-09,0.77287936,115153,0.77889305,92316
91,2019-07-10,0.7721871,115153,0.77819115,92313
