site,time,year,month,day,hour,doy,          T,rain,alb,height
CP1,2021-08-10 01:00:00,2021,08,10,01,222,-9.63,0.0,0.813,0.003
CP1,2021-08-10 02:00:00,2021,08,10,02,222,-9.80,0.0,0.807,0.003
CP1,2021-08-10 03:00:00,2021,08,10,03,222,-9.98,0.0,0.802,0.003
CP1,2021-08-10 04:00:00,2021,08,10,04,222,-10.62,0.0,0.799,0.001
CP1,2021-08-10 05:00:00,2021,08,10,05,222,-11.33,0.0,0.799,0.002
CP1,2021-08-10 06:00:00,2021,08,10,06,222,-11.33,0.0,0.799,0.004
CP1,2021-08-10 07:00:00,2021,08,10,07,222,-11.53,0.0,0.800,0.002
CP1,2021-08-10 08:00:00,2021,08,10,08,222,-11.78,0.0,0.802,0.004
CP1,2021-08-10 09:00:00,2021,08,10,09,222,-10.58,0.0,0.804,nan
CP1,2021-08-10 10:00:00,2021,08,10,10,222,-9.02,0.0,0.806,nan
CP1,2021-08-10 11:00:00,2021,08,10,11,222,-7.73,0.0,0.808,0.005
CP1,2021-08-10 12:00:00,2021,08,10,12,222,-6.15,0.0,0.809,0.005
CP1,2021-08-10 13:00:00,2021,08,10,13,222,-4.82,0.0,0.810,0.005
CP1,2021-08-10 14:00:00,2021,08,10,14,222,-3.45,0.0,0.810,0.004
CP1,2021-08-10 15:00:00,2021,08,10,15,222,-2.78,0.0,0.810,0.005
CP1,2021-08-10 16:00:00,2021,08,10,16,222,-1.93,0.0,0.810,0.004
CP1,2021-08-10 17:00:00,2021,08,10,17,222,-1.00,0.0,0.810,0.004
CP1,2021-08-10 18:00:00,2021,08,10,18,222,-0.20,0.0,0.810,0.004
CP1,2021-08-10 19:00:00,2021,08,10,19,222,0.30,0.0,0.812,0.003
CP1,2021-08-10 20:00:00,2021,08,10,20,222,0.38,0.0,0.816,0.003
CP1,2021-08-10 21:00:00,2021,08,10,21,222,0.20,0.0,0.821,0.002
CP1,2021-08-10 22:00:00,2021,08,10,22,222,-0.27,0.0,0.825,0.002
CP1,2021-08-10 23:00:00,2021,08,10,23,222,-0.32,0.0,0.828,0.006
CP1,2021-08-11 00:00:00,2021,08,11,00,223,0.30,0.0,0.832,0.005
CP1,2021-08-11 01:00:00,2021,08,11,01,223,0.27,0.0,0.837,0.004
CP1,2021-08-11 02:00:00,2021,08,11,02,223,0.10,0.0,0.841,0.003
