site,time,year,month,day,hour,doy,          T,rain,alb,height
NSE,2021-08-13 07:00:00,2021,08,13,07,225,-13.47,0.0,0.776,0.002
NSE,2021-08-13 08:00:00,2021,08,13,08,225,-13.65,0.0,0.772,-0.000
NSE,2021-08-13 09:00:00,2021,08,13,09,225,-12.42,0.0,0.766,0.004
NSE,2021-08-13 10:00:00,2021,08,13,10,225,-11.02,0.0,0.766,-0.000
NSE,2021-08-13 11:00:00,2021,08,13,11,225,-10.08,0.0,0.766,0.005
NSE,2021-08-13 12:00:00,2021,08,13,12,225,-7.25,0.0,0.767,0.004
NSE,2021-08-13 13:00:00,2021,08,13,13,225,-3.92,0.2,0.767,0.001
NSE,2021-08-13 14:00:00,2021,08,13,14,225,-2.93,0.4,0.767,0.001
NSE,2021-08-13 15:00:00,2021,08,13,15,225,-1.95,0.6,0.767,0.003
NSE,2021-08-13 16:00:00,2021,08,13,16,225,0.13,1.1,0.767,0.003
NSE,2021-08-13 17:00:00,2021,08,13,17,225,1.82,1.5,0.767,-0.002
NSE,2021-08-13 18:00:00,2021,08,13,18,225,1.85,1.7,0.767,-0.002
NSE,2021-08-13 19:00:00,2021,08,13,19,225,1.57,2.9,0.767,-0.001
NSE,2021-08-13 20:00:00,2021,08,13,20,225,1.28,3.6,0.767,-0.004
NSE,2021-08-13 21:00:00,2021,08,13,21,225,1.35,3.8,0.767,0.001
NSE,2021-08-13 22:00:00,2021,08,13,22,225,1.32,4.0,0.759,-0.004
NSE,2021-08-13 23:00:00,2021,08,13,23,225,1.48,4.0,0.753,-0.010
NSE,2021-08-14 00:00:00,2021,08,14,00,226,1.27,4.0,0.749,-0.020
NSE,2021-08-14 01:00:00,2021,08,14,01,226,1.38,4.0,0.749,-0.011
NSE,2021-08-14 02:00:00,2021,08,14,02,226,1.77,4.0,0.749,-0.016
NSE,2021-08-14 03:00:00,2021,08,14,03,226,1.47,4.0,0.757,-0.017
NSE,2021-08-14 04:00:00,2021,08,14,04,226,1.58,4.0,0.773,-0.019
NSE,2021-08-14 05:00:00,2021,08,14,05,226,1.45,4.0,0.790,-0.020
NSE,2021-08-14 06:00:00,2021,08,14,06,226,1.53,4.0,0.807,-0.019
NSE,2021-08-14 07:00:00,2021,08,14,07,226,1.75,4.0,0.824,-0.027
NSE,2021-08-14 08:00:00,2021,08,14,08,226,1.55,4.0,0.834,-0.026
NSE,2021-08-14 09:00:00,2021,08,14,09,226,1.87,4.0,0.833,-0.031
NSE,2021-08-14 10:00:00,2021,08,14,10,226,1.95,4.0,0.832,-0.033
NSE,2021-08-14 11:00:00,2021,08,14,11,226,2.23,4.0,0.829,-0.031
NSE,2021-08-14 12:00:00,2021,08,14,12,226,2.55,4.0,0.828,-0.034
NSE,2021-08-14 13:00:00,2021,08,14,13,226,3.02,4.0,0.828,-0.044
NSE,2021-08-14 14:00:00,2021,08,14,14,226,2.75,4.0,0.828,-0.045
NSE,2021-08-14 15:00:00,2021,08,14,15,226,2.65,4.0,0.828,-0.060
NSE,2021-08-14 16:00:00,2021,08,14,16,226,2.12,4.0,0.828,-0.061
NSE,2021-08-14 17:00:00,2021,08,14,17,226,2.33,4.5,0.828,-0.077
NSE,2021-08-14 18:00:00,2021,08,14,18,226,1.75,4.7,0.828,-0.076
NSE,2021-08-14 19:00:00,2021,08,14,19,226,1.90,4.7,0.828,-0.075
NSE,2021-08-14 20:00:00,2021,08,14,20,226,2.03,4.7,0.828,-0.078
NSE,2021-08-14 21:00:00,2021,08,14,21,226,1.70,4.7,0.828,-0.082
NSE,2021-08-14 22:00:00,2021,08,14,22,226,0.97,4.7,0.828,-0.088
NSE,2021-08-14 23:00:00,2021,08,14,23,226,0.32,4.7,0.828,-0.087
NSE,2021-08-15 00:00:00,2021,08,15,00,227,-0.12,4.7,0.834,-0.088
NSE,2021-08-15 01:00:00,2021,08,15,01,227,0.48,4.7,0.833,-0.086
NSE,2021-08-15 02:00:00,2021,08,15,02,227,0.57,4.7,0.825,-0.087
NSE,2021-08-15 03:00:00,2021,08,15,03,227,1.12,4.7,0.815,-0.086
NSE,2021-08-15 04:00:00,2021,08,15,04,227,1.48,4.7,0.791,-0.089
NSE,2021-08-15 05:00:00,2021,08,15,05,227,0.88,4.7,0.764,-0.090
NSE,2021-08-15 06:00:00,2021,08,15,06,227,0.23,4.7,0.738,-0.086
NSE,2021-08-15 07:00:00,2021,08,15,07,227,0.47,4.7,0.721,-0.087
NSE,2021-08-15 08:00:00,2021,08,15,08,227,0.53,4.7,0.712,-0.085
NSE,2021-08-15 09:00:00,2021,08,15,09,227,1.15,4.7,0.705,-0.090
NSE,2021-08-15 10:00:00,2021,08,15,10,227,1.15,4.7,0.706,-0.093
NSE,2021-08-15 11:00:00,2021,08,15,11,227,0.83,4.7,0.707,-0.095
NSE,2021-08-15 12:00:00,2021,08,15,12,227,1.07,4.7,0.708,-0.095
NSE,2021-08-15 13:00:00,2021,08,15,13,227,1.22,4.7,0.708,-0.091
NSE,2021-08-15 14:00:00,2021,08,15,14,227,1.40,4.7,0.708,-0.094
NSE,2021-08-15 15:00:00,2021,08,15,15,227,1.28,4.7,0.708,-0.100
NSE,2021-08-15 16:00:00,2021,08,15,16,227,0.97,4.7,0.708,-0.097
NSE,2021-08-15 17:00:00,2021,08,15,17,227,0.70,4.7,0.708,-0.099
NSE,2021-08-15 18:00:00,2021,08,15,18,227,0.27,4.7,0.708,-0.097
NSE,2021-08-15 19:00:00,2021,08,15,19,227,0.60,4.7,0.708,-0.100
NSE,2021-08-15 20:00:00,2021,08,15,20,227,0.48,4.7,0.707,-0.100
NSE,2021-08-15 21:00:00,2021,08,15,21,227,-0.05,4.7,0.705,-0.103
NSE,2021-08-15 22:00:00,2021,08,15,22,227,-0.58,4.7,0.703,-0.103
NSE,2021-08-15 23:00:00,2021,08,15,23,227,-0.85,4.7,0.701,-0.100
NSE,2021-08-16 00:00:00,2021,08,16,00,228,-1.42,4.7,0.702,-0.101
NSE,2021-08-16 01:00:00,2021,08,16,01,228,-2.40,4.7,0.705,-0.102
NSE,2021-08-16 02:00:00,2021,08,16,02,228,-2.62,4.7,0.716,-0.101
NSE,2021-08-16 03:00:00,2021,08,16,03,228,-2.98,4.7,0.733,-0.101
NSE,2021-08-16 04:00:00,2021,08,16,04,228,-3.33,4.7,0.749,-0.100
NSE,2021-08-16 05:00:00,2021,08,16,05,228,-2.83,4.7,0.753,-0.100
NSE,2021-08-16 06:00:00,2021,08,16,06,228,-2.63,4.7,0.747,-0.099
NSE,2021-08-16 07:00:00,2021,08,16,07,228,-2.95,4.7,0.743,-0.100
NSE,2021-08-16 08:00:00,2021,08,16,08,228,-3.03,4.7,0.742,-0.104
NSE,2021-08-16 09:00:00,2021,08,16,09,228,-3.43,4.7,0.743,-0.102
NSE,2021-08-16 10:00:00,2021,08,16,10,228,-3.13,4.7,0.741,-0.100
