site,time,year,month,day,hour,doy,          T,rain,alb,height
SDM,2021-08-11 07:00:00,2021,08,11,07,223,-5.75,0.0,0.846,0.004
SDM,2021-08-11 08:00:00,2021,08,11,08,223,-5.28,0.0,0.849,0.003
SDM,2021-08-11 09:00:00,2021,08,11,09,223,-5.17,0.0,0.846,0.003
SDM,2021-08-11 10:00:00,2021,08,11,10,223,-4.88,0.0,0.845,0.003
SDM,2021-08-11 11:00:00,2021,08,11,11,223,-4.22,0.0,0.844,0.004
SDM,2021-08-11 12:00:00,2021,08,11,12,223,-3.62,0.0,0.843,0.005
SDM,2021-08-11 13:00:00,2021,08,11,13,223,-3.13,0.0,0.844,0.004
SDM,2021-08-11 14:00:00,2021,08,11,14,223,-2.90,0.0,0.844,0.004
SDM,2021-08-11 15:00:00,2021,08,11,15,223,-2.67,0.0,0.844,0.004
SDM,2021-08-11 16:00:00,2021,08,11,16,223,-2.45,0.0,0.844,0.002
SDM,2021-08-11 17:00:00,2021,08,11,17,223,-2.17,0.0,0.844,0.002
SDM,2021-08-11 18:00:00,2021,08,11,18,223,-1.87,0.0,0.844,-0.001
SDM,2021-08-11 19:00:00,2021,08,11,19,223,-2.73,0.0,0.844,0.003
SDM,2021-08-11 20:00:00,2021,08,11,20,223,-3.05,0.0,0.844,-0.000
SDM,2021-08-11 21:00:00,2021,08,11,21,223,-3.72,0.0,0.842,-0.003
SDM,2021-08-11 22:00:00,2021,08,11,22,223,-4.77,0.0,0.839,-0.004
SDM,2021-08-11 23:00:00,2021,08,11,23,223,-6.20,0.0,0.824,-0.003
SDM,2021-08-12 00:00:00,2021,08,12,00,224,-8.07,0.0,0.805,-0.003
SDM,2021-08-12 01:00:00,2021,08,12,01,224,-8.83,0.0,0.788,0.002
SDM,2021-08-12 02:00:00,2021,08,12,02,224,-9.10,0.0,0.783,-0.000
SDM,2021-08-12 03:00:00,2021,08,12,03,224,-9.73,0.0,0.762,-0.002
SDM,2021-08-12 04:00:00,2021,08,12,04,224,-10.40,0.0,0.757,-0.003
SDM,2021-08-12 05:00:00,2021,08,12,05,224,-11.75,0.0,0.750,-0.005
SDM,2021-08-12 06:00:00,2021,08,12,06,224,-14.27,0.0,0.743,-0.006
SDM,2021-08-12 07:00:00,2021,08,12,07,224,-15.17,0.0,0.734,-0.001
SDM,2021-08-12 08:00:00,2021,08,12,08,224,-14.02,0.0,0.726,-0.003
SDM,2021-08-12 09:00:00,2021,08,12,09,224,-12.75,0.0,0.720,-0.001
SDM,2021-08-12 10:00:00,2021,08,12,10,224,-11.02,0.0,0.718,0.000
SDM,2021-08-12 11:00:00,2021,08,12,11,224,-9.90,0.0,0.716,0.003
SDM,2021-08-12 12:00:00,2021,08,12,12,224,-8.33,0.0,0.716,0.001
SDM,2021-08-12 13:00:00,2021,08,12,13,224,-7.00,0.0,0.716,0.002
SDM,2021-08-12 14:00:00,2021,08,12,14,224,-5.47,0.0,0.716,-0.000
SDM,2021-08-12 15:00:00,2021,08,12,15,224,-4.55,0.0,0.716,-0.003
SDM,2021-08-12 16:00:00,2021,08,12,16,224,-3.68,0.0,0.716,-0.004
SDM,2021-08-12 17:00:00,2021,08,12,17,224,-3.18,0.0,0.715,-0.006
SDM,2021-08-12 18:00:00,2021,08,12,18,224,-3.02,0.0,0.715,-0.006
SDM,2021-08-12 19:00:00,2021,08,12,19,224,-2.88,0.0,0.715,-0.007
SDM,2021-08-12 20:00:00,2021,08,12,20,224,-2.22,0.0,0.714,-0.007
SDM,2021-08-12 21:00:00,2021,08,12,21,224,-2.55,0.0,0.716,-0.013
SDM,2021-08-12 22:00:00,2021,08,12,22,224,-3.57,0.0,0.722,-0.006
SDM,2021-08-12 23:00:00,2021,08,12,23,224,-2.48,0.0,0.728,-0.016
SDM,2021-08-13 00:00:00,2021,08,13,00,225,-3.35,0.0,0.727,-0.013
SDM,2021-08-13 01:00:00,2021,08,13,01,225,-3.27,0.0,0.735,-0.011
SDM,2021-08-13 02:00:00,2021,08,13,02,225,-2.48,0.0,0.742,-0.012
SDM,2021-08-13 03:00:00,2021,08,13,03,225,-1.97,0.0,0.748,-0.013
SDM,2021-08-13 04:00:00,2021,08,13,04,225,-2.13,0.0,0.753,-0.011
SDM,2021-08-13 05:00:00,2021,08,13,05,225,-2.55,0.0,0.762,-0.021
SDM,2021-08-13 06:00:00,2021,08,13,06,225,-4.05,0.0,0.769,-0.029
SDM,2021-08-13 07:00:00,2021,08,13,07,225,-8.13,0.0,0.775,-0.009
SDM,2021-08-13 08:00:00,2021,08,13,08,225,-4.25,0.0,0.769,-0.023
SDM,2021-08-13 09:00:00,2021,08,13,09,225,-3.25,0.0,0.770,-0.017
SDM,2021-08-13 10:00:00,2021,08,13,10,225,-3.08,0.0,0.771,-0.014
SDM,2021-08-13 11:00:00,2021,08,13,11,225,-3.97,0.0,0.772,-0.006
SDM,2021-08-13 12:00:00,2021,08,13,12,225,-2.22,0.0,0.771,-0.004
SDM,2021-08-13 13:00:00,2021,08,13,13,225,-0.37,0.0,0.772,-0.003
SDM,2021-08-13 14:00:00,2021,08,13,14,225,0.77,0.0,0.772,-0.004
SDM,2021-08-13 15:00:00,2021,08,13,15,225,1.32,0.0,0.772,-0.005
SDM,2021-08-13 16:00:00,2021,08,13,16,225,1.67,0.0,0.772,-0.004
SDM,2021-08-13 17:00:00,2021,08,13,17,225,2.00,0.0,0.773,-0.018
SDM,2021-08-13 18:00:00,2021,08,13,18,225,2.05,0.0,0.773,-0.015
SDM,2021-08-13 19:00:00,2021,08,13,19,225,1.80,0.0,0.773,-0.016
SDM,2021-08-13 20:00:00,2021,08,13,20,225,1.60,0.0,0.773,-0.015
SDM,2021-08-13 21:00:00,2021,08,13,21,225,1.42,0.0,0.773,-0.016
SDM,2021-08-13 22:00:00,2021,08,13,22,225,1.35,0.0,0.773,-0.021
SDM,2021-08-13 23:00:00,2021,08,13,23,225,1.18,0.0,0.764,-0.020
SDM,2021-08-14 00:00:00,2021,08,14,00,226,0.22,0.0,0.757,-0.026
SDM,2021-08-14 01:00:00,2021,08,14,01,226,1.27,0.0,0.754,-0.018
SDM,2021-08-14 02:00:00,2021,08,14,02,226,0.90,0.0,0.757,-0.018
SDM,2021-08-14 03:00:00,2021,08,14,03,226,1.08,0.0,0.760,-0.018
SDM,2021-08-14 04:00:00,2021,08,14,04,226,1.40,0.0,0.770,-0.020
SDM,2021-08-14 05:00:00,2021,08,14,05,226,1.02,0.0,0.776,-0.021
SDM,2021-08-14 06:00:00,2021,08,14,06,226,1.17,0.0,0.791,-0.017
SDM,2021-08-14 07:00:00,2021,08,14,07,226,1.78,0.0,0.795,-0.022
SDM,2021-08-14 08:00:00,2021,08,14,08,226,1.70,0.0,0.786,-0.025
SDM,2021-08-14 09:00:00,2021,08,14,09,226,1.65,0.0,0.773,-0.027
SDM,2021-08-14 10:00:00,2021,08,14,10,226,1.32,0.0,0.766,-0.031
SDM,2021-08-14 11:00:00,2021,08,14,11,226,1.28,0.0,0.764,-0.033
SDM,2021-08-14 12:00:00,2021,08,14,12,226,1.73,0.0,0.764,-0.042
SDM,2021-08-14 13:00:00,2021,08,14,13,226,2.23,0.0,0.764,-0.060
SDM,2021-08-14 14:00:00,2021,08,14,14,226,2.35,0.0,0.764,-0.059
SDM,2021-08-14 15:00:00,2021,08,14,15,226,2.37,0.0,0.764,-0.073
SDM,2021-08-14 16:00:00,2021,08,14,16,226,2.27,0.0,0.764,-0.081
SDM,2021-08-14 17:00:00,2021,08,14,17,226,1.88,0.0,0.764,-0.083
SDM,2021-08-14 18:00:00,2021,08,14,18,226,1.93,0.0,0.764,-0.100
SDM,2021-08-14 19:00:00,2021,08,14,19,226,1.53,0.0,0.764,-0.096
SDM,2021-08-14 20:00:00,2021,08,14,20,226,1.32,0.0,0.764,-0.097
SDM,2021-08-14 21:00:00,2021,08,14,21,226,1.20,0.0,0.763,-0.101
SDM,2021-08-14 22:00:00,2021,08,14,22,226,1.05,0.0,0.761,-0.100
